doc_type,file_path,sentence_id,previous_sentence,sentence,next_sentence,target_word,concept,category
FICTION,HTN,79,It was a strange commandment.,Gabriel had never in his life contemplated stealing so much as a **flea** from a dog.,His mother and father had raised him to be a law-abiding Christian.,flea,flea,flee or insects
FICTION,HH9,3025,"He lay stiff on her hand, small, cold and useless.",A **flea** jumped off him.,She held her breath for a moment and then the tears and the breath burst out of her at the same time.,flea,flea,flee or insects
FICTION,HH1,955,"‘Now, then, let's have a look at you,’ came fitzAlan's voice, and she found herself flipped over on to her back to encounter a pair of hard blue eyes.",In the ensuing silence she could have heard a **flea** move in the rushes on the floor.,"Then, with a rough jerk, fitzAlan pulled her to her feet.",flea,flea,flee or insects
FICTION,HH5,1605,‘You played against your king and won!’,My mind raced as nimble as a **flea** in air.,"‘Of course, Your Majesty,’ I stuttered.",flea,flea,flee or insects
FICTION,HRA,2119,‘There!,Just drowned a **flea**.,"Little bugger made a run for it, but I swamped him.’",flea,flea,flee or insects
FICTION,H92,1834,"‘Paul, I don't know if you have realised this yet, but I am not the understudy to the part of the father.","I am understudying George Birkitt, who, when I last saw him, was looking as fit as a **flea**.’","‘Charles, this is an emergency!",flea,flea,flee or insects
FICTION,HGM,3345,"‘Well, if it comes to that I wasn't too happy either!’",‘Are you trying to tell me that if I'd come to you you wouldn't have sent me away with a **flea** in my ear?’,He couldn't disguise his amazement.,flea,flea,flee or insects
FICTION,HGN,3583,‘That's just as well.’,"And you, Rosenbloom, have the loyalty of a **flea**.","‘But,’ Rainbow continues, ‘you're something…different.",flea,flea,flee or insects
NONAC,FP9,1257,Thousands of people rolled up to see this infamous figure in the summer of 1932.,"This was a peripatetic Diogenes of the masses though, and fined for obstruction he had to constantly seek new pitches: ‘His barrel was sandwiched between a fasting girl and a **flea** circus.","He sat in it for fourteen hours a day, hoping to get about £2,000 for all the appeals which lay before him.’",flea,flea,flee or insects
OTHERPUB,FEB,1742,"Its common name derives from ""pulioll-royall"" , an old French name for a royal thyme.","Pulegium is from pulex, the Latin for **flea**, as it was much used to deter, if not actually kill, fleas.","Two varieties have been distinguished, M. p decumbens, the one under discussion, and M. p. erecta, whose flower stems are 20–30cm (8–12in) tall.",flea,flea,flee or insects
OTHERPUB,FEB,1881,Domestic,"powerful **flea** repellent, also against other insects, as an air cleanser when burnt",Fragrance and Aroma,flea,flea,flee or insects
NONAC,FEV,151,It locates its food by vibrations and is attracted to anything which generates the right sort of disturbance.,Cat **flea** pupae use vibrations in a slightly different way.,"They lie dormant, usually in carpets, until they feel the faint tremble that indicates a person or a cat passing, and then rapidly emerge.",flea,flea,flee or insects
FICTION,F9C,2509,"His students thought he'd finally flipped and started telling fairy stories, but this was no fairy story, this was a real Gothic Horror.","For thousands of years the marmots had lived on the banks of the lake in Central Asia where they played host to a **flea** called xenopsylla cheopsis and a tiny bacillus, or disease, called pasteurella pestis , with no dramatic consequences to any of them, and not the slightest impact on the rest of the world.",And then something happened to disturb the marmots.,flea,flea,flee or insects
FICTION,FU8,196,The French have a heavy hand.,They like to use an elephant gun to stun a **flea**.,You'll see that  when we get ashore.,flea,flea,flee or insects
OTHERPUB,FTU,879,"Sometimes, turning a corner from some leisurely alley, you feel you have been thrust into the coruscating life of a country fair.","On Tuesdays and Fridays, for example, the old quarter is busy with the fruit, flower and vegetable markets, and on the last Saturday of every month, it is enlivened by the traditional **flea** market.","On these occasions, it is hard to realise that not so very far away, industry and commerce are hard at work.",flea,flea,flee or insects
NEWS,A3P,365,"Markets: Apart from the fish market, there is a general market every Saturday morning on T'Zand, on the west side of town, and every Wednesday on the Burg, in the centre.","A **flea** market along the Dijver, one of the main canals, takes place on Saturday and Sunday from March to October but looks like a real tourist trap.","Books: Blue Guide to Belgium and Luxembourg (Black/Norton, £11.95), good for historical sights; Brugge Inside Out available locally for about £4 is useful for more down-to-earth matters.",flea,flea,flee or insects
FICTION,AC5,712,"Now sit still and stop hopping about, will you.",Anyone'd think you was a **flea** on the organ-grinder's monkey.’,The windows were streaky like at the basement.,flea,flea,flee or insects
FICTION,ACK,1787,"And, oh, those fearsome pictures on the containers!","I know what a **flea** and a slug look like, I don't want to be frightened to death every time I pick up the packet.",If I want a video nasty I'll buy one.,flea,flea,flee or insects
OTHERPUB,ACM,1428,"After a hectic day on the circuit his owner would watch as Noddy returned to the pits, his face showing the strain of a life lived in the fast lane.","Once indoors the dog would collapse in front of the fire, there, perhaps, to dream of the day when he'd swap his **flea** collar for a laurel wreath, and his water bowl for a magnum of champagne with which to shower his adoring fans!","Things, however, came to a head one day when a veterinary surgeon on his rounds, in a regulation Volvo estate, was alarmed to see Noddy tearing towards him on the wrong side of the road, in hot pursuit of a Transit van.",flea,flea,flee or insects
NONAC,AC9,1551,9.9 A computer with graphics software installed can process the data from a surveying instrument and reconstruct a three-dimensional impression of the land surface.,Computing the Collections: The art of successful **flea** handling Lea Jones,The British Museum's collections contain a pair of dressed fleas from Mexico.,flea,flea,flee or insects
NONAC,AC9,1604,"The pedant might create a separate physical record for each item: the fleas, plus the individual garments.",Theoretically (it would be argued) these items may become detached from the **flea** and be lost in the collections.,"Should they be found, it would be necessary to have a physically separate record to enable specific identification of this object to be made.",flea,flea,flee or insects
NONAC,AC9,1606,"Should they be found, it would be necessary to have a physically separate record to enable specific identification of this object to be made.","The pragmatist might acknowledge this point but would offer the further thought that, under normal circumstances, it is unlikely that a **flea**'s stray garment could be mistaken for anything else, and that the flea. its garments and any other intimately associated paraphernalia would be more sensibly and  helpfully handled as a single record.",A text description of the item(s) covered by the record should allow the information to be both recorded and retrieved without having to split it between several records.,flea,flea,flee or insects
NONAC,AC9,1610,"Furthermore, they would be viewed as a single entity from a collections point of view.","But (the pedant may pursue the point), what if the **flea** and its garments were housed in separate locations?","Then say so in the record, the pragmatist would counter.",flea,flea,flee or insects
NONAC,AC9,1612,"Then say so in the record, the pragmatist would counter.","In this way the **flea** gets to keep its clothes on — at least in the records, if not the collections.","It is indeed possible for a theoretically single item to have more than one location simultaneously, typically the case with temporary locations and compound objects.",flea,flea,flee or insects
NONAC,AC9,1686,"The problem arises when more common, everyday names are available.","Take the human **flea**, or Pulex irritans .",The pedant's argument might be that Pulex irritans is a very specific term for an otherwise undistinguished little insect.,flea,flea,flee or insects
NONAC,AC9,1688,The pedant's argument might be that Pulex irritans is a very specific term for an otherwise undistinguished little insect.,"It provides precision, ‘**flea**’ being too vague and potentially confused with other types of flea, such as the dog flea, or (disaster!) the water flea.","The pragmatist might suggest that precision is fine only so long as everyone understands the term: in fact,Pulex irritans is less obviously a flea, than ‘flea’.",flea,flea,flee or insects
NONAC,AC9,1688,The pedant's argument might be that Pulex irritans is a very specific term for an otherwise undistinguished little insect.,"It provides precision, ‘flea’ being too vague and potentially confused with other types of **flea**, such as the dog flea, or (disaster!) the water flea.","The pragmatist might suggest that precision is fine only so long as everyone understands the term: in fact,Pulex irritans is less obviously a flea, than ‘flea’.",flea,flea,flee or insects
NONAC,AC9,1688,The pedant's argument might be that Pulex irritans is a very specific term for an otherwise undistinguished little insect.,"It provides precision, ‘flea’ being too vague and potentially confused with other types of flea, such as the dog **flea**, or (disaster!) the water flea.","The pragmatist might suggest that precision is fine only so long as everyone understands the term: in fact,Pulex irritans is less obviously a flea, than ‘flea’.",flea,flea,flee or insects
NONAC,AC9,1688,The pedant's argument might be that Pulex irritans is a very specific term for an otherwise undistinguished little insect.,"It provides precision, ‘flea’ being too vague and potentially confused with other types of flea, such as the dog flea, or (disaster!) the water **flea**.","The pragmatist might suggest that precision is fine only so long as everyone understands the term: in fact,Pulex irritans is less obviously a flea, than ‘flea’.",flea,flea,flee or insects
NONAC,AC9,1689,"It provides precision, ‘flea’ being too vague and potentially confused with other types of flea, such as the dog flea, or (disaster!) the water flea.","The pragmatist might suggest that precision is fine only so long as everyone understands the term: in fact,Pulex irritans is less obviously a **flea**, than ‘flea’.","The pedant, persistent as ever, could insist that Pulex irritans is the proper term for a flea and it therefore ought to be provided for those who understand it.",flea,flea,flee or insects
NONAC,AC9,1689,"It provides precision, ‘flea’ being too vague and potentially confused with other types of flea, such as the dog flea, or (disaster!) the water flea.","The pragmatist might suggest that precision is fine only so long as everyone understands the term: in fact,Pulex irritans is less obviously a flea, than ‘**flea**’.","The pedant, persistent as ever, could insist that Pulex irritans is the proper term for a flea and it therefore ought to be provided for those who understand it.",flea,flea,flee or insects
NONAC,AC9,1690,"The pragmatist might suggest that precision is fine only so long as everyone understands the term: in fact,Pulex irritans is less obviously a flea, than ‘flea’.","The pedant, persistent as ever, could insist that Pulex irritans is the proper term for a **flea** and it therefore ought to be provided for those who understand it.","The pragmatist could agree, pointing out that the scope notes for each term could be used for precisely this purpose, adding that, unless a scientific name has no more common alternative, it should remain non-preferred, with an alternative preferred term supplied.",flea,flea,flee or insects
OTHERPUB,ACN,1124,"‘Not Dynasty -type scripts, just about normal working class families and things that have happened to me’","Black swimsuit by Azzedine Alaia, 27 Fulham Rd, London SW3: black boots, PVC jacket and American Express neck chain, all by Jean Paul Gaultier from Junior Gaultier, Newburgh St, W1; rings by Du Du Du from Paris **flea** market",CANDY,flea,flea,flee or insects
OTHERPUB,AM5,1754,"It reminds me of when, as a young man just flown from the comfort and security of the parental nest, I rented a small flat.",The late landlord's estate of numerous **flea** pits was managed by an agent who wasn't too bothered about the slight leak at the connection between my toilet and the drain.,"At one point I had pretty yellow fungi growing from the floor, which was right above a store room to the cafe downstairs; needless to say, I never ate there.",flea,flea,flee or insects
OTHERPUB,AM0,523,"Although don't forget that, as usual, your Clubrep will also have a great selection of Club entertainment including a barbecue, the Reps' Cabaret and a trip to Spain.","The campsite also has a selection of shops on site including a supermarket, launderette, bureau de change and weekly **flea** market and the resort of Canet Plage is only a five minute drive away.",Meals: Self catering and Accommodation only,flea,flea,flee or insects
NEWS,AJJ,109,They are aware that designer labels are no passport to instant glamour and that designers tend to recycle the past anyway.,One assistant to a renowned Parisian designer is regularly sent to scour the **flea** markets ‘for ideas’.,"For some people, a sense of shame clings to the buying of cast-offs.",flea,flea,flee or insects
NEWS,AKM,60,Dog aid THE National Canine Defence League is opening its rescue centres to collect medical items for animals in St Petersburg.,"Drugs and equipment are in short supply and the NCDL is looking for **flea** collars, worming tablets and cotton wool — the sorts of things pet owners can spare.","Details from NCDL, 1 Pratt Mews, London NW1, tel: 071–388 0137.",flea,flea,flee or insects
FICTION,AEB,3134,‘Should they not take precautions to prevent themselves inhaling this dust?’,The thin man niggled at him like a **flea** in the hide of a rhinoceros.,‘They could always hold their breath!,flea,flea,flee or insects
ACPROSE,ABM,436,The rules of an artificial formal logic will not guide one in the search for the natures of things.,Just what routes will logic produce to lead me to the complete knowledge of the nature of a **flea**?…,"Is it truly the province of logic to examine, to uncover, and consequently to explain the nature of things, rather than the province of Physics and the other sciences instead?",flea,flea,flee or insects
ACPROSE,ABM,446,"What is the ‘essence’ or ‘nature’of a horse, and why does it follow from this that a horse has a certain type of head or feet, or lives to the age it does?","What is the ‘form’ of a **flea**, and will it explain its ability to digest blood, and to move with agility?","‘What qualities result from that form deep within him, and how?’",flea,flea,flee or insects
ACPROSE,ABM,708,But Casaubon is not without insight in his idea that the committed experimental philosopher may come to think that all areas of human concern and experience are legitimate grist to his mill.,"In illustration of the absurdity of this ‘scientific’ arrogance, and teaching a lesson which is just as applicable today, he appeals to a story Gassendi told about a friend who watched a fight between a louse and a **flea** through a microscope.","The man claimed to have learnt self-control, temperance, and forbearance from his observations, and to have ‘profited more to rule his passions in the rest of his life, than he had done by any thing that he had heard, or read before’.",flea,flea,flee or insects
FICTION,AN7,2285,Maggie asked.,‘Fit as a **flea**.,"Gets irritated by the children, mind, but I suppose that's natural in a man.",flea,flea,flee or insects
FICTION,A0L,2821,"Actually, in all semi-seriousness, knowing my penchant for warm furry places.",I'd be a **flea**.,And that would have the added advantage of being able to hop from one creature to another.,flea,flea,flee or insects
OTHERPUB,A0G,2462,Decide whether the pest is a serious threat or merely a nuisance.,"Some, such as froghoppers (‘cuckoo spit’) and **flea** beetles, cause little more than cosmetic damage and will be tolerated by healthy plants.","On the other hand, aphids can infect raspberries with incurable virus diseases, and blackcurrant reversion is spread by big-bud mites.",flea,flea,flee or insects
OTHERPUB,ARS,1137,They are hoed between the rows and singled by hand.,"They can be heavily attacked by turnip **flea** beetle when in the two-leaf stage if the seeds are not dressed, but will usually outgrow the damage.","The brassicas are susceptible to a fungus disease called finger and toe, particularly in acid soil, and, if sown before mid-May, are liable to mildew.",flea,flea,flee or insects
FICTION,ASS,920,Henry would reply.,‘Send him away with a **flea** in his ear.,"Psychosomatic, I suppose?’",flea,flea,flee or insects
ACPROSE,A6B,210,Who clipped the lion's wings,And **flea**'d his rump and pared his claws?,"Thought Burbank, meditating on",flea,flea,flee or insects
OTHERPUB,A17,991,"The signs may wax and wane, and the longer it is before a diagnosis is made, the more likely the dog is to end up with long-term arthritis, another disease where preventive measures are very easy and effective.","Regular treatment of your dog and your home with a suitable insecticide is all that's required, so it's no more than you should already be doing to control our old friend the **flea**!",Do make sure the method you employ against fleas will also work against ticks.,flea,flea,flee or insects
FICTION,G1L,869,"Wasn't it one of the simplest magics there was and his grandfather, to say nothing of his great-grandfather (who had lived long and fared well) passing it down to him.","Why, said Pumlumon, hadn't there been a time, not so very long ago either, when he could rattle off the words that set the Draoicht Suan working with no more ado than you might make in the squashing of a **flea**, always supposing you wanted to do something so pointless, which Pumlumon himself never had.","‘But you can remember it all?’ said Fenella, anxiously, and Pumlumon pushed his hat well back and scratched his head and said once he got it going, it would follow as the night the day, or maybe it was the other way round.",flea,flea,flee or insects
FICTION,G0N,2535,I assumed he was chancing his arm.,"So, I sent him away with a **flea** in  his ear.","Then, last Monday, who should I see skulking — yes, I think skulking is the word around Church Square but your former chauffeur, the bibulous Mr Spicer.",flea,flea,flee or insects
ACPROSE,GW4,195,"An example of such ‘political’ postmodernism in the fine arts is the work of Ed Kienholz, whom critics have labelled a neo dadaist.","In an eminently Benjaminian vein, Kienholz has said that one can only understand a ‘society by going through its junk stores and **flea** markets’.","He explicitly confronted issues of racism in his 1960 commentary on the antisegregation struggles in Little Rock, Arkansas (The Little Eagle Rock Incident) and in his installation, Five Car Stud.",flea,flea,flee or insects
OTHERPUB,G33,1688,"‘In the evening we were like a tribe of monkeys, sitting around chatting and picking ticks off one another.’","Right : A tropical chiggoe **flea** that has burrowed into the sole of a foot, gorged itself, laid eggs and been squeezed out, having grown from less than one millimetre wide to more than a centimetre.",‘The only way we could get any sleep was by drinking about a tumbler of whisky every night.’,flea,flea,flee or insects
