category,level,domain,gain
spear,terminal,artifacts,0.3598056430179765
sperm_whale,terminal,animals,0.035072257488347226
spider,terminal,animals,0.36766870635354565
spoon,terminal,artifacts,0.5073520042655079
squirrel,terminal,animals,0.21085397498227446
stick,terminal,artifacts,0.46895222750950927
stickleback,terminal,animals,0.0949874640110176
stork,terminal,animals,0.030666297918658436
stove,terminal,artifacts,0.4822529069391884
submarine,terminal,artifacts,0.4988372953866504
subway_train,terminal,artifacts,0.010694801176824472
suit,terminal,artifacts,3.71018457957425
swallow,terminal,animals,0.05242707651079212
swan,terminal,animals,0.1556820204377536
sweater,terminal,artifacts,0.7348756057300808
sword,terminal,artifacts,1.234036896792771
synthesizer,terminal,artifacts,0.0715841620122445
t-shirt,terminal,artifacts,0.1598882285699243
tambourine,terminal,artifacts,0.09821694921159392
tank,terminal,artifacts,0.13860028548999836
taxi,terminal,artifacts,1.808686267211946
teaspoon,terminal,artifacts,0.08314169528125576
tie,terminal,artifacts,1.3912791941328693
tiger,terminal,animals,0.17864940550386554
toad,terminal,animals,0.3023247537313266
toaster,terminal,artifacts,0.22585056467481837
tools,intermediate,artifacts,8.695390055602743
top,terminal,artifacts,1.6816287276994497
tortoise,terminal,animals,0.12019476322052396
towel,terminal,artifacts,0.2812168494146445
tracksuit,terminal,artifacts,0.3789727672000617
tractor,terminal,artifacts,0.609330536997578
trailer,terminal,artifacts,0.6290456514879685
train,terminal,artifacts,4.757429589560936
tram,terminal,artifacts,0.48180425370646385
trombone,terminal,artifacts,0.10074962663873757
truck,terminal,artifacts,1.9440541158574476
trumpet,terminal,artifacts,0.4938214227205978
turkey,terminal,animals,0.04425499989050779
turtle,terminal,animals,0.08402789724501711
vacuum_cleaner,terminal,artifacts,0.5764074069093816
van,terminal,artifacts,2.345795433926655
vehicles,intermediate,artifacts,23.81404425889231
violin,terminal,artifacts,0.3785465670811269
viper,terminal,animals,0.04881537987257828
vulture,terminal,animals,0.031320926725192655
wasp,terminal,animals,0.13255385122924868
weapons,intermediate,artifacts,4.966337174063413
whale,terminal,animals,0.1757485506957795
wheelbarrow,terminal,artifacts,0.46140866752162163
whip,terminal,artifacts,0.4988746793162634
whisk,terminal,artifacts,0.02436952102662071
wire_brush,terminal,artifacts,0.03635106663552781
wok,terminal,artifacts,0.017155758174460398
wolf,terminal,animals,0.20442534043101368
woodpecker,terminal,animals,0.09521292182541641
worm,terminal,animals,0.2891832635506342
wrench,terminal,artifacts,0.07599554972484127
zebra,terminal,animals,0.026117327341140237
zeppelin,terminal,artifacts,0.0355915766102786
